Reported_Date,Type,State,Age_Group,Gender,Cases,Monetary_Loss
1999-04-03,Government Documents or Benefits Fraud,TX,40-49,Female,74,7002.26
1999-04-03,Phone or Utilities Fraud,NC,40-49,Male,58,2895.74
1999-04-06,Credit Card Fraud,FL,40-49,Female,70,1180.02
1999-04-06,Loan or Lease Fraud,CA,50-59,Male,75,2329.8
1999-04-07,Credit Card Fraud,GA,30-39,Male,69,
1999-04-09,Credit Card Fraud,MI,60+,Female,62,3085.65
1999-04-11,Bank Fraud,TX,18-29,Female,64,1528.47
1999-04-11,Credit Card Fraud,NC,30-39,Female,71,4133.27
1999-04-14,Phone or Utilities Fraud,TX,30-39,Male,64,5736.27
1999-04-14,Government Documents or Benefits Fraud,CA,18-29,Female,89,6636.86
1999-04-14,Credit Card Fraud,FL,30-39,Male,60,4539.54
1999-04-14,Phone or Utilities Fraud,CA,18-29,Female,68,2527.9
1999-04-14,Bank Fraud,PA,18-29,Female,81,1442.07
1999-04-15,Credit Card Fraud,NC,30-39,Female,54,4148.62
1999-04-16,Bank Fraud,OH,50-59,Female,57,1426.77
1999-04-17,Government Documents or Benefits Fraud,NC,18-29,Female,73,
1999-04-17,Tax-Related Fraud,FL,40-49,Female,80,2175.48
1999-04-18,Phone or Utilities Fraud,CA,60+,Female,59,3093.47
1999-04-19,Government Documents or Benefits Fraud,CA,60+,Male,73,11277.17
1999-04-19,Credit Card Fraud,GA,40-49,Male,70,3568.62
1999-04-20,Government Documents or Benefits Fraud,PA,60+,Female,54,3365.06
1999-04-22,Credit Card Fraud,CA,30-39,Female,65,2616.65
1999-04-23,Employment Fraud,IL,30-39,Female,66,
1999-04-24,Tax-Related Fraud,TX,50-59,Female,49,2023.03
1999-04-25,Credit Card Fraud,TX,50-59,Male,62,551.56
1999-04-25,Credit Card Fraud,CA,30-39,Female,67,3186.82
1999-04-25,Credit Card Fraud,CA,18-29,Male,61,6435.64
1999-04-27,Loan or Lease Fraud,TX,30-39,Female,66,7126.13
1999-04-29,Bank Fraud,CA,30-39,Female,60,1009.4
1999-04-30,Bank Fraud,MI,18-29,Male,71,26835.17
1999-04-30,Tax-Related Fraud,PA,50-59,Female,61,2366.89
1999-05-01,Phone or Utilities Fraud,FL,50-59,Female,65,2374.17
1999-05-03,Credit Card Fraud,OH,30-39,Female,48,1540.63
1999-05-03,Tax-Related Fraud,FL,50-59,Male,55,2636.71
1999-05-04,Credit Card Fraud,CA,18-29,Female,69,1902.3
1999-05-05,Credit Card Fraud,IL,40-49,Female,65,1488.87
1999-05-07,Credit Card Fraud,NY,50-59,Male,59,635.86
1999-05-07,Loan or Lease Fraud,CA,50-59,Other,67,
1999-05-08,Government Documents or Benefits Fraud,CA,40-49,Female,50,8291.05
1999-05-10,Phone or Utilities Fraud,CA,50-59,Female,57,3250.02
1999-05-10,Bank Fraud,CA,18-29,Female,47,3703.46
1999-05-10,Government Documents or Benefits Fraud,TX,40-49,Male,79,1421.81
1999-05-11,Credit Card Fraud,CA,50-59,Male,76,1471.42
1999-05-13,Credit Card Fraud,IL,18-29,Male,54,683.47
1999-05-13,Loan or Lease Fraud,FL,30-39,Female,54,1527.81
1999-05-13,Credit Card Fraud,CA,30-39,Male,53,4051.69
1999-05-14,Phone or Utilities Fraud,CA,18-29,Female,46,3336.5
1999-05-15,Tax-Related Fraud,FL,50-59,Male,47,612.18
1999-05-15,Bank Fraud,IL,18-29,Male,80,10630.43
1999-05-16,Credit Card Fraud,CA,30-39,Male,49,857.79
1999-05-17,Credit Card Fraud,NY,40-49,Male,59,558.37
1999-05-17,Government Documents or Benefits Fraud,NC,30-39,Female,69,2901.45
1999-05-18,Tax-Related Fraud,CA,50-59,Male,60,3464.67
1999-05-19,Bank Fraud,CA,30-39,Female,59,899.59
1999-05-20,Credit Card Fraud,CA,40-49,Female,47,2643.32
1999-05-24,Government Documents or Benefits Fraud,IL,60+,Female,60,12191.56
1999-05-25,Bank Fraud,OH,30-39,Male,45,879.86
1999-05-25,Credit Card Fraud,MI,40-49,Male,49,17231.29
1999-05-25,Credit Card Fraud,GA,30-39,Male,55,
1999-05-28,Credit Card Fraud,GA,18-29,Male,76,16434.28
1999-05-28,Credit Card Fraud,CA,18-29,Female,48,9163.48
1999-05-28,Government Documents or Benefits Fraud,FL,50-59,Female,77,1816.91
1999-05-29,Credit Card Fraud,NY,40-49,Female,67,4288.59
1999-05-29,Employment Fraud,OH,40-49,Female,53,903.15
1999-05-31,Credit Card Fraud,TX,50-59,Female,49,175.24
1999-06-01,Bank Fraud,PA,30-39,Male,59,823.92
1999-06-01,Credit Card Fraud,CA,50-59,Female,31,1873.75
1999-06-01,Phone or Utilities Fraud,NY,18-29,Male,41,2278.57
1999-06-04,Credit Card Fraud,PA,50-59,Male,40,8822.66
1999-06-05,Employment Fraud,MI,30-39,Female,73,4812.49
1999-06-05,Credit Card Fraud,PA,18-29,Female,44,1707.7
1999-06-06,Loan or Lease Fraud,NY,40-49,Male,36,22001.06
1999-06-06,Loan or Lease Fraud,MI,50-59,Male,39,2396.27
1999-06-06,Loan or Lease Fraud,GA,40-49,Female,48,4874.75
1999-06-07,Loan or Lease Fraud,CA,18-29,Male,45,3785.61
1999-06-08,Government Documents or Benefits Fraud,FL,40-49,Female,40,18762.62
1999-06-08,Loan or Lease Fraud,FL,40-49,Female,65,9509.38
1999-06-08,Credit Card Fraud,GA,50-59,Male,53,3521.49
1999-06-09,Credit Card Fraud,PA,50-59,Male,47,572.33
1999-06-11,Bank Fraud,CA,40-49,Female,63,2907.94
1999-06-11,Phone or Utilities Fraud,PA,18-29,Other,54,959.84
1999-06-13,Credit Card Fraud,NC,18-29,Female,43,6459.71
1999-06-13,Bank Fraud,OH,50-59,Male,42,678.5
1999-06-17,Phone or Utilities Fraud,IL,40-49,Male,50,
1999-06-19,Phone or Utilities Fraud,CA,40-49,Male,45,3496.4
1999-06-19,Bank Fraud,FL,18-29,Male,53,1471.29
1999-06-20,Loan or Lease Fraud,FL,40-49,Female,56,9739.81
1999-06-20,Loan or Lease Fraud,CA,40-49,Male,37,13115.52
1999-06-21,Credit Card Fraud,IL,30-39,Male,60,1323.41
1999-06-21,Credit Card Fraud,PA,18-29,Male,51,8404.39
1999-06-23,Tax-Related Fraud,PA,50-59,Male,54,5045.92
1999-06-23,Government Documents or Benefits Fraud,CA,30-39,Female,26,10077.8
1999-06-23,Phone or Utilities Fraud,TX,60+,Male,44,746.7
1999-06-26,Government Documents or Benefits Fraud,FL,50-59,Female,79,1150.04
1999-06-26,Credit Card Fraud,PA,40-49,Male,40,3091.13
1999-06-27,Tax-Related Fraud,TX,30-39,Male,60,18855.45
1999-06-27,Bank Fraud,GA,18-29,Male,54,2122.41
1999-06-28,Credit Card Fraud,CA,40-49,Female,55,1304.26
1999-06-28,Phone or Utilities Fraud,OH,18-29,Male,47,16703.83
1999-06-28,Credit Card Fraud,OH,18-29,Female,40,6222.62
1999-06-28,Tax-Related Fraud,FL,50-59,Female,59,5244.08
1999-06-30,Phone or Utilities Fraud,CA,50-59,Female,49,5680.63
1999-07-01,Credit Card Fraud,IL,18-29,Male,35,7502.97
1999-07-01,Credit Card Fraud,CA,60+,Female,20,10310.67
1999-07-02,Government Documents or Benefits Fraud,NY,40-49,Male,43,7956.15
1999-07-03,Credit Card Fraud,TX,40-49,Male,38,1978.96
1999-07-03,Employment Fraud,TX,40-49,Female,35,3881.86
1999-07-05,Credit Card Fraud,FL,18-29,Male,49,3197.88
1999-07-06,Employment Fraud,TX,18-29,Female,30,10498.34
1999-07-07,Government Documents or Benefits Fraud,NY,18-29,Male,42,4920.5
1999-07-08,Credit Card Fraud,FL,40-49,Male,47,
1999-07-09,Tax-Related Fraud,TX,18-29,Male,29,759.98
1999-07-09,Credit Card Fraud,CA,30-39,Male,41,6095.8
1999-07-10,Government Documents or Benefits Fraud,CA,40-49,Female,31,1155.67
1999-07-10,Phone or Utilities Fraud,OH,40-49,Male,28,10607.24
1999-07-11,Bank Fraud,MI,40-49,Female,32,7852.24
1999-07-11,Tax-Related Fraud,CA,40-49,Female,44,
1999-07-12,Loan or Lease Fraud,CA,30-39,Male,66,1859.36
1999-07-12,Credit Card Fraud,GA,40-49,Female,34,2711.88
1999-07-12,Loan or Lease Fraud,MI,18-29,Female,41,10111.35
1999-07-13,Government Documents or Benefits Fraud,TX,30-39,Male,45,313.59
1999-07-14,Phone or Utilities Fraud,PA,40-49,Other,44,1135.43
1999-07-16,Government Documents or Benefits Fraud,NC,40-49,Female,49,991.06
1999-07-16,Bank Fraud,TX,40-49,Male,41,1493.51
1999-07-17,Bank Fraud,CA,50-59,Female,36,1923.85
1999-07-22,Government Documents or Benefits Fraud,GA,60+,Male,30,38089.45
1999-07-23,Phone or Utilities Fraud,FL,50-59,Female,35,2184.81
1999-07-23,Employment Fraud,TX,40-49,Female,45,5934.9
1999-07-24,Bank Fraud,FL,30-39,Male,33,2345.6
1999-07-24,Credit Card Fraud,CA,40-49,Female,63,13823.37
1999-07-25,Loan or Lease Fraud,GA,30-39,Female,39,880.85
1999-07-26,Credit Card Fraud,CA,30-39,Male,44,2782.98
1999-07-27,Credit Card Fraud,TX,40-49,Female,38,2498.22
1999-07-28,Credit Card Fraud,TX,50-59,Female,34,1953.62
1999-08-02,Credit Card Fraud,CA,50-59,Male,34,1746.81
1999-08-03,Phone or Utilities Fraud,GA,18-29,Male,41,26840.58
1999-08-04,Employment Fraud,GA,18-29,Male,28,2711.08
1999-08-06,Credit Card Fraud,FL,40-49,Female,35,5443.27
1999-08-07,Credit Card Fraud,FL,50-59,Male,29,21583.89
1999-08-07,Loan or Lease Fraud,FL,40-49,Female,30,4557.87
1999-08-08,Tax-Related Fraud,CA,18-29,Female,38,706.44
1999-08-10,Credit Card Fraud,FL,18-29,Male,35,2529.87
1999-08-12,Employment Fraud,TX,40-49,Male,38,3188.67
1999-08-12,Phone or Utilities Fraud,TX,18-29,Female,43,2938.48
1999-08-12,Credit Card Fraud,OH,40-49,Female,37,2452.09
1999-08-13,Phone or Utilities Fraud,TX,30-39,Female,24,2028.15
1999-08-14,Credit Card Fraud,CA,50-59,Male,17,4774.54
1999-08-15,Credit Card Fraud,TX,40-49,Female,29,960.83
1999-08-16,Credit Card Fraud,NC,18-29,Female,28,4521.83
1999-08-17,Phone or Utilities Fraud,CA,30-39,Male,35,3509.99
1999-08-18,Loan or Lease Fraud,OH,40-49,Female,35,
1999-08-18,Loan or Lease Fraud,OH,30-39,Female,40,7495.05
1999-08-19,Credit Card Fraud,CA,18-29,Female,49,9280.72
1999-08-20,Credit Card Fraud,PA,30-39,Male,36,2778.16
1999-08-20,Phone or Utilities Fraud,TX,30-39,Female,28,3502.9
1999-08-20,Bank Fraud,FL,50-59,Female,31,3941.94
1999-08-21,Credit Card Fraud,NY,30-39,Female,47,5798.07
1999-08-24,Credit Card Fraud,NC,40-49,Male,32,3263.61
1999-08-24,Loan or Lease Fraud,TX,50-59,Male,32,865.35
1999-08-25,Employment Fraud,TX,18-29,Female,26,713.19
1999-08-26,Government Documents or Benefits Fraud,CA,60+,Male,33,944.42
1999-08-26,Bank Fraud,FL,50-59,Male,39,4463.13
1999-08-26,Bank Fraud,CA,40-49,Female,44,6565.0
1999-08-27,Credit Card Fraud,TX,40-49,Female,37,1027.79
1999-08-27,Credit Card Fraud,CA,18-29,Female,21,751.73
1999-08-29,Credit Card Fraud,IL,18-29,Male,37,4814.14
1999-08-29,Employment Fraud,CA,60+,Male,37,1311.79
1999-08-29,Phone or Utilities Fraud,CA,40-49,Male,31,491.09
1999-08-30,Employment Fraud,MI,18-29,Male,24,979.54
1999-08-31,Loan or Lease Fraud,CA,50-59,Female,29,2222.32
1999-08-31,Phone or Utilities Fraud,CA,18-29,Female,35,5462.32
1999-09-01,Credit Card Fraud,CA,40-49,Female,6,5569.32
1999-09-02,Bank Fraud,NY,30-39,Female,32,19034.63
1999-09-03,Bank Fraud,OH,40-49,Male,32,3412.54
1999-09-04,Bank Fraud,TX,50-59,Female,16,1284.37
1999-09-08,Credit Card Fraud,IL,40-49,Female,31,8424.73
1999-09-09,Employment Fraud,PA,60+,Male,32,9084.17
1999-09-11,Loan or Lease Fraud,NY,30-39,Female,21,4086.85
1999-09-11,Credit Card Fraud,TX,60+,Male,31,13064.89
1999-09-11,Credit Card Fraud,FL,30-39,Female,34,741.42
1999-09-13,Phone or Utilities Fraud,PA,18-29,Male,21,1448.61
1999-09-16,Bank Fraud,NY,18-29,Male,25,3921.36
1999-09-18,Bank Fraud,CA,50-59,Male,36,405.77
1999-09-18,Credit Card Fraud,CA,60+,Male,23,468.26
1999-09-18,Government Documents or Benefits Fraud,NY,18-29,Female,41,10971.97
1999-09-19,Phone or Utilities Fraud,TX,60+,Female,47,3720.58
1999-09-19,Employment Fraud,TX,60+,Female,29,5008.71
1999-09-19,Bank Fraud,FL,50-59,Female,25,1811.88
1999-09-21,Loan or Lease Fraud,TX,60+,Female,35,1035.41
1999-09-21,Employment Fraud,CA,30-39,Female,47,2349.85
1999-09-21,Credit Card Fraud,TX,18-29,Male,29,5659.39
1999-09-24,Phone or Utilities Fraud,CA,40-49,Male,39,615.93
1999-09-25,Phone or Utilities Fraud,FL,50-59,Male,30,846.63
1999-09-25,Loan or Lease Fraud,CA,18-29,Male,41,4184.77
1999-09-25,Bank Fraud,OH,40-49,Female,27,4787.69
1999-09-26,Credit Card Fraud,OH,50-59,Male,17,756.54
1999-09-27,Government Documents or Benefits Fraud,NY,50-59,Female,44,1236.16
1999-09-28,Phone or Utilities Fraud,NC,50-59,Male,23,4415.99
1999-09-29,Loan or Lease Fraud,CA,18-29,Male,19,10621.14
1999-09-29,Employment Fraud,TX,30-39,Male,35,811.92
1999-09-30,Loan or Lease Fraud,IL,18-29,Male,22,397.08
1999-10-01,Bank Fraud,FL,40-49,Male,47,2697.51
1999-10-07,Credit Card Fraud,FL,40-49,Female,30,2784.64
1999-10-09,Loan or Lease Fraud,CA,30-39,Male,34,2947.19
1999-10-11,Bank Fraud,CA,50-59,Female,24,2014.33
1999-10-13,Government Documents or Benefits Fraud,NC,40-49,Male,34,1568.69
1999-10-14,Bank Fraud,CA,30-39,Male,37,752.17
1999-10-14,Credit Card Fraud,MI,40-49,Female,19,33880.21
1999-10-15,Bank Fraud,MI,18-29,Female,23,
1999-10-18,Phone or Utilities Fraud,FL,50-59,Male,26,13475.83
1999-10-18,Loan or Lease Fraud,NC,18-29,Male,53,4602.47
1999-10-19,Credit Card Fraud,CA,60+,Male,18,5236.87
1999-10-23,Phone or Utilities Fraud,TX,40-49,Female,31,7875.73
1999-10-23,Credit Card Fraud,FL,40-49,Male,29,2469.28
1999-10-24,Bank Fraud,FL,40-49,Male,26,9581.71
1999-10-24,Credit Card Fraud,NY,50-59,Male,50,2891.6
1999-10-24,Credit Card Fraud,GA,18-29,Male,34,3353.05
1999-10-25,Tax-Related Fraud,NC,40-49,Male,30,3506.06
1999-10-26,Employment Fraud,OH,40-49,Female,34,
1999-10-27,Phone or Utilities Fraud,FL,40-49,Male,38,1934.62
1999-10-27,Bank Fraud,FL,60+,Male,38,8500.85
1999-10-27,Credit Card Fraud,IL,18-29,Male,19,
1999-10-28,Employment Fraud,IL,30-39,Male,33,571.54
1999-10-29,Employment Fraud,IL,50-59,Female,44,1475.55
1999-10-30,Credit Card Fraud,FL,18-29,Female,33,597.08
1999-10-30,Loan or Lease Fraud,PA,60+,Female,32,1672.79
1999-11-01,Employment Fraud,CA,60+,Female,54,6833.82
1999-11-02,Employment Fraud,NY,30-39,Male,41,1346.7
1999-11-03,Phone or Utilities Fraud,FL,40-49,Female,31,5090.12
1999-11-03,Phone or Utilities Fraud,CA,40-49,Male,41,1751.88
1999-11-03,Bank Fraud,TX,30-39,Female,38,25329.43
1999-11-04,Phone or Utilities Fraud,IL,50-59,Male,43,2447.67
1999-11-05,Loan or Lease Fraud,PA,18-29,Female,32,
1999-11-06,Credit Card Fraud,CA,40-49,Male,48,1463.76
1999-11-06,Phone or Utilities Fraud,OH,50-59,Female,44,2693.02
1999-11-07,Phone or Utilities Fraud,CA,30-39,Female,50,2988.59
1999-11-07,Phone or Utilities Fraud,MI,40-49,Female,51,
1999-11-09,Bank Fraud,OH,50-59,Female,30,2049.69
1999-11-09,Bank Fraud,FL,50-59,Female,55,523.07
1999-11-12,Phone or Utilities Fraud,CA,18-29,Female,58,577.21
1999-11-12,Tax-Related Fraud,NY,18-29,Male,58,
1999-11-13,Credit Card Fraud,CA,50-59,Female,29,2629.39
1999-11-14,Credit Card Fraud,IL,60+,Female,51,1906.39
1999-11-15,Phone or Utilities Fraud,NC,30-39,Female,38,5300.65
1999-11-16,Bank Fraud,CA,50-59,Female,39,2193.39
1999-11-17,Credit Card Fraud,NY,40-49,Male,37,1128.55
1999-11-18,Credit Card Fraud,OH,30-39,Male,50,1113.69
1999-11-19,Tax-Related Fraud,TX,50-59,Male,45,
1999-11-19,Credit Card Fraud,TX,60+,Female,51,186.5
1999-11-19,Employment Fraud,CA,30-39,Female,32,746.95
1999-11-19,Bank Fraud,FL,50-59,Male,32,3952.69
1999-11-20,Credit Card Fraud,IL,50-59,Female,42,797.62
1999-11-20,Loan or Lease Fraud,TX,40-49,Male,43,10972.48
1999-11-22,Phone or Utilities Fraud,NY,60+,Female,42,
1999-11-22,Phone or Utilities Fraud,TX,50-59,Female,40,3812.3
1999-11-24,Credit Card Fraud,IL,60+,Male,33,2096.68
1999-11-24,Credit Card Fraud,TX,40-49,Male,52,466.87
1999-11-25,Credit Card Fraud,TX,40-49,Male,44,6005.76
1999-11-26,Phone or Utilities Fraud,MI,50-59,Male,36,475.23
1999-11-27,Phone or Utilities Fraud,PA,18-29,Female,42,998.9
1999-11-28,Bank Fraud,TX,30-39,Male,30,3177.17
1999-11-29,Credit Card Fraud,NY,40-49,Male,37,1261.63
1999-11-29,Tax-Related Fraud,IL,60+,Other,33,2647.71
1999-11-29,Credit Card Fraud,OH,40-49,Female,34,769.48
1999-12-03,Employment Fraud,FL,18-29,Male,56,2572.96
1999-12-05,Bank Fraud,NY,50-59,Male,52,35872.11
1999-12-06,Employment Fraud,NY,30-39,Male,45,1159.96
1999-12-07,Bank Fraud,OH,50-59,Female,70,1139.61
1999-12-08,Phone or Utilities Fraud,TX,30-39,Male,54,6306.48
1999-12-09,Credit Card Fraud,FL,18-29,Male,42,1536.55
1999-12-09,Bank Fraud,CA,50-59,Female,32,3742.01
1999-12-09,Credit Card Fraud,FL,30-39,Male,49,1307.46
1999-12-09,Credit Card Fraud,CA,18-29,Male,49,12966.9
1999-12-10,Phone or Utilities Fraud,PA,40-49,Male,32,454.48
1999-12-10,Bank Fraud,NY,50-59,Female,56,2396.04
1999-12-11,Credit Card Fraud,MI,40-49,Female,64,1434.47
1999-12-12,Bank Fraud,FL,40-49,Male,50,3165.55
1999-12-13,Bank Fraud,TX,18-29,Male,57,4464.18
1999-12-14,Credit Card Fraud,MI,18-29,Male,40,540.86
1999-12-14,Government Documents or Benefits Fraud,TX,40-49,Male,55,3115.74
1999-12-15,Phone or Utilities Fraud,MI,50-59,Female,44,1143.71
1999-12-15,Loan or Lease Fraud,TX,40-49,Female,32,743.76
1999-12-17,Loan or Lease Fraud,TX,50-59,Female,33,3371.38
1999-12-19,Bank Fraud,GA,40-49,Female,53,1173.85
1999-12-20,Bank Fraud,CA,18-29,Male,49,356.68
1999-12-21,Phone or Utilities Fraud,CA,18-29,Male,45,2151.39
1999-12-21,Credit Card Fraud,NY,40-49,Female,41,2696.02
1999-12-21,Tax-Related Fraud,NY,30-39,Male,59,2385.55
1999-12-24,Tax-Related Fraud,NC,60+,Female,54,396.48
1999-12-24,Phone or Utilities Fraud,FL,18-29,Male,52,1148.47
1999-12-26,Employment Fraud,NY,30-39,Male,37,27843.64
1999-12-26,Bank Fraud,GA,40-49,Female,68,1433.91
1999-12-28,Tax-Related Fraud,NY,18-29,Male,50,367.25
1999-12-28,Credit Card Fraud,TX,18-29,Male,48,3577.65
1999-12-30,Bank Fraud,CA,30-39,Male,58,3059.41
1999-12-30,Bank Fraud,TX,30-39,Female,54,1496.24
1999-12-30,Credit Card Fraud,TX,50-59,Female,65,4509.68
1999-12-30,Government Documents or Benefits Fraud,IL,30-39,Male,50,38300.88
2000-01-02,Tax-Related Fraud,NC,60+,Female,103,2470.14
2000-01-02,Tax-Related Fraud,PA,40-49,Male,73,1016.8
2000-01-02,Credit Card Fraud,TX,18-29,Female,99,2553.53
2000-01-03,Credit Card Fraud,FL,30-39,Female,74,5242.12
2000-01-04,Tax-Related Fraud,OH,60+,Female,94,1462.62
2000-01-04,Bank Fraud,NY,40-49,Female,89,8644.51
2000-01-04,Loan or Lease Fraud,CA,18-29,Female,91,4052.7
2000-01-04,Government Documents or Benefits Fraud,GA,40-49,Male,107,2049.24
2000-01-04,Employment Fraud,IL,50-59,Female,77,39351.06
2000-01-05,Bank Fraud,FL,30-39,Male,86,2454.45
2000-01-05,Loan or Lease Fraud,CA,40-49,Female,95,3009.25
2000-01-06,Phone or Utilities Fraud,IL,40-49,Male,104,1187.02
2000-01-06,Credit Card Fraud,GA,30-39,Male,88,4128.95
2000-01-06,Government Documents or Benefits Fraud,FL,30-39,Male,87,519.12
2000-01-07,Credit Card Fraud,TX,30-39,Male,92,4462.62
2000-01-08,Phone or Utilities Fraud,MI,40-49,Male,85,4987.95
2000-01-13,Loan or Lease Fraud,PA,30-39,Female,86,570.74
2000-01-13,Government Documents or Benefits Fraud,NY,50-59,Male,94,
